event_id,timestamp,object_id,event_type,yolo_class,yolo_conf,rescue_label,display_label,score_yolo,score_posture,score_motion,score_gesture,score_roi,score_operator,score_total,score_reason,rescue_score,ai_rescue_score,display_status,analysis_status,ai_status,final_status,final_priority,status,posture_status,motion_status,gesture_status,roi_status,pose_state,pose_reasons,gps_lat,gps_lon,weather_source,weather_location,weather_temperature_c,weather_humidity_percent,weather_wind_speed_ms,weather_rain_probability_1h,weather_precipitation_1h_mm,weather_rain_probability_3h,weather_precipitation_3h_mm,weather_assessment,weather_recommendation,operator_decision,image_full_path,image_crop_path,video_replay_path,mission_state
20260601_053120_ID1_AUTO_DANGER,2026-06-01 05:31:20,1,,victim,0.865,,,,,,,,,,,80,,,,,,,DANGER,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_053120_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_053120_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_054542_ID1_AUTO_DANGER,2026-06-01 05:45:42,1,,victim,0.891,,,,,,,,,,,100,,,,,,,DANGER,unknown,moving,,inside_roi,CAN_CUU_GIUP,gio tay;VAY TAY CAU CUU,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_054542_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_054542_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_054601_ID1_AUTO_DANGER,2026-06-01 05:46:01,1,,victim,0.891,,,,,,,,,,,80,,,,,,,DANGER,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_054601_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_054601_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_064514_ID1_AUTO_DANGER,2026-06-01 06:45:14,1,,victim,0.910,,,,,,,,,,,80,,,,,,,DANGER,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_064514_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_064514_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_064736_ID1_AUTO_DANGER,2026-06-01 06:47:36,1,,victim,0.889,,,,,,,,,,,80,,,,,,,DANGER,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_064736_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_064736_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_064915_ID1_AUTO_DANGER,2026-06-01 06:49:15,1,,victim,0.904,,,,,,,,,,,80,,,,,,,DANGER,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_064915_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_064915_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_064926_ID1_AUTO_DANGER,2026-06-01 06:49:26,1,,victim,0.911,,,,,,,,,,,80,,,,,,,DANGER,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,AUTO,D:\Study\AI YOLO\canh_bao_full\20260601_064926_ID1_AUTO_DANGER_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_064926_ID1_AUTO_DANGER_crop.jpg,,DANGER_ALERT
20260601_065202_ID1_TRIGGER_STIMULUS,2026-06-01 06:52:02,1,,normal_person,0.907,,,,,,,,,,,20,,,,,,,NORMAL,unknown,suspicious_motion,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,STIM_ON,D:\Study\AI YOLO\canh_bao_full\20260601_065202_ID1_TRIGGER_STIMULUS_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_065202_ID1_TRIGGER_STIMULUS_crop.jpg,,TRACKING
20260601_065204_ID1_TRIGGER_STIMULUS,2026-06-01 06:52:04,1,,normal_person,0.905,,,,,,,,,,,20,,,,,,,NORMAL,unknown,suspicious_motion,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,STIM_ON,D:\Study\AI YOLO\canh_bao_full\20260601_065204_ID1_TRIGGER_STIMULUS_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_065204_ID1_TRIGGER_STIMULUS_crop.jpg,,TRACKING
20260601_065209_ID1_TRIGGER_STIMULUS,2026-06-01 06:52:09,1,,normal_person,0.905,,,,,,,,,,,35,,,,,,,NORMAL,unknown,motionless,,inside_roi,BINH_THUONG,,,,,,,,,,,,,,,STIM_ON,D:\Study\AI YOLO\canh_bao_full\20260601_065209_ID1_TRIGGER_STIMULUS_full.jpg,D:\Study\AI YOLO\canh_bao_crop\20260601_065209_ID1_TRIGGER_STIMULUS_crop.jpg,,TRACKING
