epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,385.06,1.56637,2.6346,1.48531,0.31087,0.3012,0.73305,0.59781,1.38823,1.8676,1.39114,0.00991,0.0033,0.00991,0.0033,0.00991,0.0033,0.00991,0.0033
2,715.91,1.52349,2.51924,1.46682,0.27708,0.30459,0.8006,0.65974,1.3727,1.8581,1.38477,0.00982,0.00327,0.00982,0.00327,0.00982,0.00327,0.00982,0.00327
3,1047.26,1.486,2.43157,1.44306,0.34726,0.34779,0.7797,0.63844,1.34714,1.78443,1.3784,0.00972,0.00324,0.00972,0.00324,0.00972,0.00324,0.00972,0.00324
4,1391.38,1.47793,2.35892,1.40618,0.35649,0.38743,0.6958,0.57225,1.32993,1.72676,1.38081,0.00963,0.00321,0.00963,0.00321,0.00963,0.00321,0.00963,0.00321
5,1729.59,1.41934,2.16808,1.40414,0.41953,0.40684,0.724,0.58987,1.30896,1.68316,1.36269,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318
6,2065.45,1.38248,2.14793,1.41357,0.41843,0.41862,0.7797,0.64364,1.31253,1.63812,1.34371,0.00945,0.00315,0.00945,0.00315,0.00945,0.00315,0.00945,0.00315
7,2397.1,1.33933,2.07849,1.40135,0.46486,0.40651,0.7968,0.65608,1.29412,1.52398,1.35549,0.00936,0.00312,0.00936,0.00312,0.00936,0.00312,0.00936,0.00312
8,2730.77,1.30554,1.98259,1.39942,0.48263,0.43589,0.8292,0.67577,1.25217,1.48717,1.34837,0.00927,0.00309,0.00927,0.00309,0.00927,0.00309,0.00927,0.00309
9,3074.29,1.27767,1.93871,1.39086,0.51322,0.45315,0.8309,0.68291,1.23415,1.47214,1.35927,0.00917,0.00306,0.00917,0.00306,0.00917,0.00306,0.00917,0.00306
10,3417.6,1.25901,1.8707,1.3548,0.50563,0.45932,0.8422,0.68918,1.20267,1.42458,1.35106,0.00908,0.00303,0.00908,0.00303,0.00908,0.00303,0.00908,0.00303
11,3761.59,1.24845,1.77823,1.36224,0.50644,0.43625,0.8638,0.71073,1.2195,1.41494,1.35202,0.00899,0.003,0.00899,0.003,0.00899,0.003,0.00899,0.003
12,4111.04,1.20957,1.7003,1.35632,0.5223,0.43769,0.8462,0.68938,1.21053,1.34576,1.3383,0.0089,0.00297,0.0089,0.00297,0.0089,0.00297,0.0089,0.00297
13,4441.23,1.17267,1.62401,1.31922,0.48901,0.47724,0.8759,0.71995,1.18688,1.33636,1.34688,0.00881,0.00294,0.00881,0.00294,0.00881,0.00294,0.00881,0.00294
14,4785.47,1.1559,1.54003,1.2849,0.52948,0.54581,0.8681,0.71127,1.16922,1.30872,1.34525,0.00872,0.00291,0.00872,0.00291,0.00872,0.00291,0.00872,0.00291
15,5123.93,1.15087,1.46,1.27772,0.58575,0.53122,0.861,0.71035,1.1572,1.24589,1.32736,0.00862,0.00287,0.00862,0.00287,0.00862,0.00287,0.00862,0.00287
16,5464.16,1.09558,1.34086,1.25898,0.59592,0.54102,0.8637,0.70422,1.14811,1.2063,1.31806,0.00853,0.00284,0.00853,0.00284,0.00853,0.00284,0.00853,0.00284
17,5804.83,1.04118,1.27668,1.26386,0.60465,0.57748,0.8625,0.70505,1.14733,1.15982,1.29263,0.00844,0.00281,0.00844,0.00281,0.00844,0.00281,0.00844,0.00281
18,6143.29,1.02983,1.19414,1.26478,0.59871,0.62825,0.8928,0.72974,1.11084,1.09293,1.30307,0.00835,0.00278,0.00835,0.00278,0.00835,0.00278,0.00835,0.00278
19,6474.16,1.00365,1.17693,1.2512,0.64793,0.64037,0.8773,0.7156,1.09339,1.07581,1.29857,0.00826,0.00275,0.00826,0.00275,0.00826,0.00275,0.00826,0.00275
20,6804.56,0.96074,1.06662,1.23806,0.65459,0.63645,0.8783,0.71914,1.05294,1.04287,1.29313,0.00817,0.00272,0.00817,0.00272,0.00817,0.00272,0.00817,0.00272
21,7148.3,0.95371,0.99819,1.2378,0.68245,0.6559,0.8807,0.72517,1.03781,1.02181,1.27408,0.00807,0.00269,0.00807,0.00269,0.00807,0.00269,0.00807,0.00269
22,7492.46,0.91914,0.95239,1.22338,0.69218,0.63404,0.8722,0.71987,1.02627,0.99156,1.28229,0.00798,0.00266,0.00798,0.00266,0.00798,0.00266,0.00798,0.00266
23,7829.24,0.89524,0.92296,1.2136,0.67814,0.65687,0.8819,0.72716,1.0174,0.94038,1.26958,0.00789,0.00263,0.00789,0.00263,0.00789,0.00263,0.00789,0.00263
24,8177.78,0.8662,0.88033,1.20085,0.67923,0.66778,0.8883,0.72592,1.00823,0.92837,1.27352,0.0078,0.0026,0.0078,0.0026,0.0078,0.0026,0.0078,0.0026
