epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1681.36,1.51563,1.48955,1.36617,0.69961,0.52645,0.57822,0.33036,1.66428,1.43495,1.36873,0.00999874,0.00333291,0.00999874,0.00333291,0.00999874,0.00333291,0.00999874,0.00333291
2,2945.01,1.60164,1.55645,1.42493,0.70448,0.48579,0.55743,0.30885,1.73094,1.64825,1.44007,0.0196028,0.00653426,0.0196028,0.00653426,0.0196028,0.00653426,0.0196028,0.00653426
3,1201.19,1.69889,1.74538,1.51219,0.61358,0.44646,0.48039,0.24364,1.83675,1.77136,1.54458,0.0288108,0.0096036,0.0288108,0.0096036,0.0288108,0.0096036,0.0288108,0.0096036
4,2428.6,1.70538,1.75318,1.5246,0.66129,0.50694,0.55028,0.29679,1.7311,1.59678,1.46209,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3656.84,1.63371,1.64079,1.4778,0.72739,0.51571,0.58617,0.33744,1.67245,1.52078,1.41923,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4829.22,1.58264,1.54683,1.44267,0.75121,0.55118,0.61996,0.37062,1.60119,1.42584,1.37593,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6002.46,1.53064,1.46389,1.40939,0.77419,0.56513,0.6449,0.39525,1.58179,1.34673,1.3644,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7197.5,1.504,1.41533,1.38477,0.79422,0.57363,0.65318,0.41814,1.53425,1.34117,1.33783,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8384.81,1.47564,1.36241,1.36587,0.8074,0.59546,0.68364,0.44719,1.48377,1.26348,1.297,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9576.34,1.45538,1.33942,1.35174,0.8046,0.60281,0.68402,0.44717,1.48163,1.24183,1.29737,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10785,1.43545,1.311,1.34017,0.80756,0.61159,0.69383,0.46289,1.46049,1.22595,1.28395,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,12011.5,1.41902,1.29086,1.3301,0.82186,0.61901,0.70252,0.46916,1.44501,1.18743,1.2677,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,13231.3,1.41015,1.26716,1.32274,0.83547,0.62274,0.7076,0.47751,1.42968,1.16287,1.26387,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1185.79,1.38285,1.23615,1.30513,0.83691,0.63123,0.71835,0.48692,1.40951,1.14238,1.24859,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2401.24,1.37848,1.22269,1.30057,0.83057,0.63574,0.71805,0.49246,1.39843,1.12611,1.23802,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3587.31,1.36372,1.20913,1.2957,0.81455,0.64176,0.71223,0.492,1.39039,1.12499,1.23493,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
